month,uf,code,qty,weight
202406,AC,12,144,0.000939207650273224
202406,AL,27,242,0.003728369763205829
202406,AM,13,1877,0.05026183970856102
202406,AP,16,309,0.0056352459016393444
202406,BA,29,2589,0.07052595628415301
202406,CE,23,1317,0.03432377049180328
202406,DF,53,1427,0.03745446265938069
202406,ES,32,2770,0.0756773679417122
202406,GO,52,1334,0.03480760473588342
202406,MA,21,932,0.02336634790528233
202406,MG,31,8361,0.23480191256830601
202406,MS,50,1414,0.037084471766848814
202406,MT,51,1712,0.0455658014571949
202406,PA,15,3072,0.08427254098360656
202406,PB,25,513,0.011441256830601093
202406,PE,26,747,0.018101092896174863
202406,PI,22,294,0.005208333333333333
202406,PR,41,1718,0.04573656648451731
202406,RJ,33,6479,0.18123861566484517
202406,RN,24,928,0.023252504553734062
202406,RO,11,403,0.008310564663023679
202406,RR,14,827,0.020377959927140255
202406,RS,43,5693,0.1588683970856102
202406,SC,42,2328,0.06309767759562841
202406,SE,28,497,0.010985883424408014
202406,SP,35,19333,0.5470742258652095
202406,TO,17,137,0.0007399817850637523
202407,AC,12,141,0.0008538251366120218
202407,AL,27,230,0.00338683970856102
202407,AM,13,1744,0.04647654826958106
202407,AP,16,286,0.004980646630236794
202407,BA,29,2472,0.06719603825136612
202407,CE,23,1247,0.03233151183970856
202407,DF,53,1367,0.03574681238615665
202407,ES,32,2641,0.07200591985428051
202407,GO,52,1259,0.03267304189435337
202407,MA,21,897,0.022370218579234973
202407,MG,31,7973,0.22375910746812386
202407,MS,50,1331,0.034722222222222224
202407,MT,51,1671,0.04439890710382514
202407,PA,15,2947,0.08071493624772313
202407,PB,25,490,0.010786657559198543
202407,PE,26,679,0.01616575591985428
202407,PI,22,283,0.004895264116575592
202407,PR,41,1706,0.0453950364298725
202407,RJ,33,6281,0.17560336976320584
202407,RN,24,972,0.024504781420765027
202407,RO,11,398,0.008168260473588342
202407,RR,14,770,0.018755692167577415
202407,RS,43,5382,0.15001707650273224
202407,SC,42,2346,0.06360997267759563
