month,ddd,qty
202502,0,7
202502,1,1
202502,7,1
202502,11,16275
202502,12,1762
202502,13,1186
202502,14,1680
202502,15,1349
202502,16,1096
202502,17,918
202502,18,924
202502,19,3328
202502,21,5624
202502,22,1167
202502,24,641
202502,27,2084
202502,28,317
202502,31,4737
202502,32,663
202502,33,546
202502,34,829
202502,35,1412
202502,37,877
202502,38,569
202502,39,2
202502,41,904
202502,42,173
202502,43,254
202502,44,200
202502,45,262
202502,46,87
202502,47,1717
202502,48,1717
202502,49,353
202502,51,3862
202502,52,1
202502,53,465
202502,54,1439
202502,55,852
202502,59,2
202502,60,1
202502,61,1351
202502,62,832
202502,63,119
202502,64,471
202502,65,1144
202502,66,765
202502,67,1363
202502,68,130
202502,69,465
202502,71,1678
202502,73,329
202502,74,120
202502,75,593
202502,76,1
202502,77,397
202502,79,427
202502,80,1
202502,81,727
202502,82,208
202502,83,468
202502,84,1535
202502,85,866
202502,86,188
202502,87,110
202502,88,195
202502,89,61
202502,91,1434
202502,92,1793
202502,93,600
202502,94,1367
202502,95,825
202502,96,301
202502,97,18
202502,98,672
202502,99,421
