month,ddd,qty
202501,0,7
202501,4,1
202501,7,1
202501,11,13303
202501,12,1587
202501,13,1031
202501,14,1635
202501,15,1231
202501,16,1033
202501,17,912
202501,18,925
202501,19,3092
202501,21,5119
202501,22,1133
202501,24,612
202501,27,2076
202501,28,325
202501,31,3945
202501,32,651
202501,33,542
202501,34,810
202501,35,1365
202501,37,836
202501,38,531
202501,39,1
202501,41,873
202501,42,175
202501,43,244
202501,44,201
202501,45,238
202501,46,86
202501,47,1451
202501,48,1436
202501,49,347
202501,51,3348
202501,52,1
202501,53,476
202501,54,1432
202501,55,814
202501,59,1
202501,61,1342
202501,62,798
202501,63,113
202501,64,450
202501,65,1149
202501,66,755
202501,67,1314
202501,68,123
202501,69,450
202501,71,1368
202501,73,321
202501,74,110
202501,75,502
202501,77,375
202501,79,420
202501,81,644
202501,82,210
202501,83,455
202501,84,1268
202501,85,868
202501,86,192
202501,87,111
202501,88,188
202501,89,57
202501,91,1303
202501,92,1662
202501,93,571
202501,94,1306
202501,95,805
202501,96,273
202501,97,16
202501,98,599
202501,99,361
