month,ddd,qty
202506,0,3
202506,1,2
202506,4,2
202506,7,1
202506,9,2
202506,10,2
202506,11,21281
202506,12,2048
202506,13,1530
202506,14,1823
202506,15,1474
202506,16,1212
202506,17,1045
202506,18,1052
202506,19,3782
202506,21,6835
202506,22,1342
202506,24,754
202506,27,2244
202506,28,368
202506,31,5840
202506,32,826
202506,33,630
202506,34,917
202506,35,1595
202506,37,1063
202506,38,740
202506,39,3
202506,41,1070
202506,42,199
202506,43,280
202506,44,270
202506,45,261
202506,46,87
202506,47,2137
202506,48,1999
202506,49,349
202506,51,4738
202506,52,2
202506,53,448
202506,54,1524
202506,55,994
202506,58,1
202506,59,2
202506,60,1
202506,61,1546
202506,62,982
202506,63,156
202506,64,560
202506,65,1207
202506,66,867
202506,67,1550
202506,68,205
202506,69,473
202506,71,2203
202506,73,396
202506,74,188
202506,75,703
202506,76,1
202506,77,483
202506,79,517
202506,81,970
202506,82,263
202506,83,498
202506,84,1854
202506,85,1013
202506,86,221
202506,87,141
202506,88,260
202506,89,91
202506,91,1481
202506,92,1816
202506,93,722
202506,94,1455
202506,95,842
202506,96,325
202506,97,21
202506,98,800
202506,99,409
