month,ddd,qty
202409,11,8849
202409,12,1382
202409,13,859
202409,14,1468
202409,15,1055
202409,16,955
202409,17,827
202409,18,914
202409,19,2692
202409,21,4536
202409,22,1015
202409,24,581
202409,27,2199
202409,28,307
202409,31,3169
202409,32,652
202409,33,575
202409,34,833
202409,35,1278
202409,37,763
202409,38,503
202409,41,779
202409,42,175
202409,43,252
202409,44,271
202409,45,239
202409,46,77
202409,47,1077
202409,48,1048
202409,49,286
202409,51,2891
202409,53,348
202409,54,1349
202409,55,809
202409,59,1
202409,61,1352
202409,62,779
202409,63,125
202409,64,427
202409,65,989
202409,66,708
202409,67,1297
202409,68,115
202409,69,410
202409,71,1128
202409,73,317
202409,74,112
202409,75,454
202409,77,345
202409,79,469
202409,81,857
202409,82,215
202409,83,450
202409,84,943
202409,85,1010
202409,86,197
202409,87,124
202409,88,205
202409,89,66
202409,91,1115
202409,92,1642
202409,93,583
202409,94,1299
202409,95,775
202409,96,282
202409,97,22
202409,98,567
202409,99,327
