month,ddd,qty
202411,11,9191
202411,12,1333
202411,13,831
202411,14,1514
202411,15,1126
202411,16,998
202411,17,851
202411,18,897
202411,19,2702
202411,21,4538
202411,22,1076
202411,24,565
202411,27,2073
202411,28,314
202411,31,3149
202411,32,625
202411,33,553
202411,34,822
202411,35,1270
202411,37,778
202411,38,519
202411,41,809
202411,42,184
202411,43,250
202411,44,195
202411,45,239
202411,46,75
202411,47,1112
202411,48,1136
202411,49,318
202411,51,2859
202411,53,423
202411,54,1424
202411,55,778
202411,59,1
202411,61,1351
202411,62,753
202411,63,115
202411,64,440
202411,65,1068
202411,66,718
202411,67,1260
202411,68,112
202411,69,397
202411,71,1086
202411,73,293
202411,74,106
202411,75,432
202411,77,340
202411,79,435
202411,81,529
202411,82,210
202411,83,433
202411,84,958
202411,85,937
202411,86,193
202411,87,119
202411,88,190
202411,89,67
202411,91,1174
202411,92,1614
202411,93,531
202411,94,1308
202411,95,766
202411,96,259
202411,97,19
202411,98,523
202411,99,319
