month,ddd,qty
202505,0,3
202505,1,2
202505,4,2
202505,7,1
202505,9,2
202505,10,2
202505,11,19025
202505,12,1913
202505,13,1380
202505,14,1709
202505,15,1397
202505,16,1144
202505,17,943
202505,18,945
202505,19,3538
202505,21,6266
202505,22,1252
202505,24,679
202505,27,2068
202505,28,335
202505,31,5211
202505,32,755
202505,33,566
202505,34,858
202505,35,1477
202505,37,971
202505,38,658
202505,39,3
202505,41,987
202505,42,176
202505,43,261
202505,44,231
202505,45,250
202505,46,84
202505,47,1954
202505,48,1899
202505,49,334
202505,51,4314
202505,52,2
202505,53,431
202505,54,1434
202505,55,935
202505,58,1
202505,59,2
202505,60,1
202505,61,1396
202505,62,869
202505,63,138
202505,64,518
202505,65,1152
202505,66,812
202505,67,1431
202505,68,173
202505,69,481
202505,71,1973
202505,73,357
202505,74,161
202505,75,650
202505,76,1
202505,77,439
202505,79,463
202505,81,831
202505,82,217
202505,83,468
202505,84,1774
202505,85,927
202505,86,205
202505,87,116
202505,88,226
202505,89,78
202505,91,1414
202505,92,1748
202505,93,669
202505,94,1391
202505,95,794
202505,96,321
202505,97,17
202505,98,752
202505,99,401
