month,ddd,qty
202507,2,1
202507,3,1
202507,8,1
202507,11,15181
202507,12,1609
202507,13,1227
202507,14,1779
202507,15,1216
202507,16,1111
202507,17,1037
202507,18,1052
202507,19,3099
202507,21,5695
202507,22,1297
202507,24,712
202507,27,2226
202507,28,384
202507,31,4351
202507,32,798
202507,33,627
202507,34,876
202507,35,1491
202507,37,978
202507,38,737
202507,41,1019
202507,42,205
202507,43,258
202507,44,246
202507,45,253
202507,46,81
202507,47,1553
202507,48,1466
202507,49,317
202507,51,3646
202507,53,414
202507,54,1461
202507,55,951
202507,56,1
202507,59,2
202507,61,1487
202507,62,993
202507,63,146
202507,64,534
202507,65,1260
202507,66,894
202507,67,1534
202507,68,226
202507,69,448
202507,71,1571
202507,73,361
202507,74,163
202507,75,592
202507,77,443
202507,79,530
202507,81,728
202507,82,268
202507,83,463
202507,84,1125
202507,85,981
202507,86,215
202507,87,148
202507,88,255
202507,89,96
202507,91,1428
202507,92,1795
202507,93,784
202507,94,1454
202507,95,880
202507,96,330
202507,97,22
202507,98,774
202507,99,419
