month,ddd,qty
202412,11,9429
202412,12,1319
202412,13,855
202412,14,1553
202412,15,1111
202412,16,979
202412,17,864
202412,18,904
202412,19,2747
202412,21,4540
202412,22,1082
202412,24,565
202412,27,2062
202412,28,313
202412,31,3125
202412,32,631
202412,33,541
202412,34,792
202412,35,1263
202412,37,774
202412,38,512
202412,41,806
202412,42,175
202412,43,239
202412,44,200
202412,45,233
202412,46,77
202412,47,1172
202412,48,1199
202412,49,321
202412,51,2856
202412,53,447
202412,54,1417
202412,55,770
202412,59,1
202412,61,1336
202412,62,765
202412,63,111
202412,64,440
202412,65,1121
202412,66,732
202412,67,1253
202412,68,115
202412,69,414
202412,71,1064
202412,73,293
202412,74,102
202412,75,439
202412,77,347
202412,79,422
202412,81,510
202412,82,204
202412,83,439
202412,84,987
202412,85,901
202412,86,198
202412,87,118
202412,88,174
202412,89,62
202412,91,1177
202412,92,1606
202412,93,520
202412,94,1306
202412,95,797
202412,96,244
202412,97,20
202412,98,527
202412,99,337
