month,ddd,qty
202407,11,8946
202407,12,1350
202407,13,871
202407,14,1296
202407,15,967
202407,16,839
202407,17,814
202407,18,918
202407,19,2624
202407,21,4620
202407,22,1054
202407,24,607
202407,27,2278
202407,28,363
202407,31,3267
202407,32,660
202407,33,611
202407,34,882
202407,35,1289
202407,37,772
202407,38,492
202407,41,759
202407,42,180
202407,43,250
202407,44,220
202407,45,226
202407,46,71
202407,47,1034
202407,48,1028
202407,49,284
202407,51,2911
202407,53,316
202407,54,1299
202407,55,856
202407,59,1
202407,61,1367
202407,62,798
202407,63,137
202407,64,461
202407,65,968
202407,66,703
202407,67,1331
202407,68,141
202407,69,398
202407,71,1167
202407,73,357
202407,74,118
202407,75,457
202407,77,373
202407,79,465
202407,81,553
202407,82,230
202407,83,490
202407,84,972
202407,85,1048
202407,86,211
202407,87,126
202407,88,199
202407,89,72
202407,91,1039
202407,92,1723
202407,93,635
202407,94,1273
202407,95,770
202407,96,286
202407,97,21
202407,98,582
202407,99,315
