month,ddd,qty
202504,0,3
202504,1,2
202504,7,2
202504,10,2
202504,11,18263
202504,12,1819
202504,13,1294
202504,14,1684
202504,15,1341
202504,16,1100
202504,17,893
202504,18,912
202504,19,3384
202504,21,5927
202504,22,1202
202504,24,656
202504,27,2015
202504,28,317
202504,31,4945
202504,32,709
202504,33,534
202504,34,822
202504,35,1459
202504,37,920
202504,38,592
202504,39,2
202504,41,923
202504,42,177
202504,43,259
202504,44,220
202504,45,254
202504,46,82
202504,47,1867
202504,48,1815
202504,49,335
202504,51,4118
202504,52,1
202504,53,437
202504,54,1405
202504,55,892
202504,59,2
202504,60,1
202504,61,1312
202504,62,819
202504,63,131
202504,64,493
202504,65,1101
202504,66,773
202504,67,1393
202504,68,142
202504,69,468
202504,71,1869
202504,73,322
202504,74,147
202504,75,601
202504,76,1
202504,77,402
202504,79,424
202504,81,803
202504,82,211
202504,83,449
202504,84,1697
202504,85,851
202504,86,196
202504,87,110
202504,88,210
202504,89,61
202504,91,1390
202504,92,1687
202504,93,603
202504,94,1359
202504,95,758
202504,96,310
202504,97,17
202504,98,710
202504,99,400
