month,ddd,qty
202410,11,9062
202410,12,1421
202410,13,845
202410,14,1498
202410,15,1099
202410,16,991
202410,17,830
202410,18,897
202410,19,2726
202410,21,4520
202410,22,1039
202410,24,574
202410,27,2145
202410,28,315
202410,31,3194
202410,32,645
202410,33,569
202410,34,835
202410,35,1274
202410,37,776
202410,38,517
202410,41,796
202410,42,175
202410,43,252
202410,44,214
202410,45,239
202410,46,78
202410,47,1074
202410,48,1077
202410,49,305
202410,51,2880
202410,53,385
202410,54,1409
202410,55,818
202410,59,1
202410,61,1355
202410,62,761
202410,63,119
202410,64,443
202410,65,1028
202410,66,727
202410,67,1274
202410,68,115
202410,69,404
202410,71,1120
202410,73,306
202410,74,106
202410,75,445
202410,77,351
202410,79,458
202410,81,536
202410,82,228
202410,83,446
202410,84,934
202410,85,966
202410,86,202
202410,87,119
202410,88,201
202410,89,63
202410,91,1153
202410,92,1655
202410,93,572
202410,94,1313
202410,95,766
202410,96,278
202410,97,21
202410,98,546
202410,99,327
