month,ddd,qty
202408,11,8897
202408,12,1341
202408,13,866
202408,14,1277
202408,15,960
202408,16,840
202408,17,810
202408,18,879
202408,19,2582
202408,21,4595
202408,22,1034
202408,24,584
202408,27,2239
202408,28,324
202408,31,3214
202408,32,657
202408,33,589
202408,34,858
202408,35,1269
202408,37,756
202408,38,510
202408,41,785
202408,42,179
202408,43,253
202408,44,236
202408,45,236
202408,46,68
202408,47,1046
202408,48,1060
202408,49,278
202408,51,2902
202408,53,335
202408,54,1316
202408,55,834
202408,59,1
202408,61,1348
202408,62,779
202408,63,123
202408,64,428
202408,65,942
202408,66,694
202408,67,1290
202408,68,127
202408,69,384
202408,71,1173
202408,73,334
202408,74,112
202408,75,455
202408,77,362
202408,79,469
202408,81,539
202408,82,215
202408,83,474
202408,84,957
202408,85,1037
202408,86,212
202408,87,126
202408,88,204
202408,89,70
202408,91,1059
202408,92,1667
202408,93,612
202408,94,1284
202408,95,755
202408,96,282
202408,97,24
202408,98,577
202408,99,318
