month,ddd,qty
202503,0,7
202503,1,1
202503,7,1
202503,9,1
202503,11,17940
202503,12,1803
202503,13,1249
202503,14,1685
202503,15,1351
202503,16,1111
202503,17,903
202503,18,922
202503,19,3339
202503,21,5831
202503,22,1184
202503,24,638
202503,27,2014
202503,28,307
202503,31,4889
202503,32,668
202503,33,527
202503,34,823
202503,35,1414
202503,37,876
202503,38,585
202503,39,1
202503,41,945
202503,42,182
202503,43,255
202503,44,201
202503,45,252
202503,46,80
202503,47,1810
202503,48,1781
202503,49,355
202503,51,4063
202503,52,1
202503,53,439
202503,54,1395
202503,55,869
202503,59,2
202503,60,1
202503,61,1333
202503,62,831
202503,63,123
202503,64,468
202503,65,1117
202503,66,742
202503,67,1371
202503,68,133
202503,69,456
202503,71,1835
202503,73,324
202503,74,125
202503,75,625
202503,76,1
202503,77,398
202503,79,424
202503,80,1
202503,81,770
202503,82,213
202503,83,472
202503,84,1671
202503,85,852
202503,86,186
202503,87,111
202503,88,202
202503,89,65
202503,91,1401
202503,92,1728
202503,93,589
202503,94,1361
202503,95,771
202503,96,297
202503,97,17
202503,98,670
202503,99,408
