month,ddd,qty
202406,11,9275
202406,12,1400
202406,13,920
202406,14,1327
202406,15,1030
202406,16,862
202406,17,833
202406,18,947
202406,19,2739
202406,21,4744
202406,22,1089
202406,24,646
202406,27,2389
202406,28,381
202406,31,3397
202406,32,708
202406,33,657
202406,34,912
202406,35,1326
202406,37,813
202406,38,548
202406,41,759
202406,42,188
202406,43,251
202406,44,222
202406,45,222
202406,46,76
202406,47,1026
202406,48,1014
202406,49,288
202406,51,3155
202406,53,323
202406,54,1330
202406,55,885
202406,59,1
202406,61,1427
202406,62,845
202406,63,137
202406,64,489
202406,65,987
202406,66,725
202406,67,1414
202406,68,144
202406,69,403
202406,71,1210
202406,73,385
202406,74,133
202406,75,467
202406,77,394
202406,79,497
202406,81,619
202406,82,242
202406,83,513
202406,84,928
202406,85,1113
202406,86,216
202406,87,128
202406,88,204
202406,89,78
202406,91,1085
202406,92,1853
202406,93,686
202406,94,1301
202406,95,827
202406,96,309
202406,97,24
202406,98,615
202406,99,317
